EMOJIS;Neg;Neu;Pos
🌳;0.086;0.343;0.486
❤;0.044;0.166;0.79
🌌;0.12;0.24;0.64
🚶;0.377;0.39;0.234
♂;0.025;0.625;0.25
🏁;0.042;0.417;0.542
🍰;0.061;0.23;0.609
🍧;0.033;0.233;0.535
🍸;0.092;0.277;0.631
🎵;0.006;0.288;0.606
🎼;0.058;0.558;0.385
😊;0.06;0.237;0.704
👍;0.015;0.248;0.637
🏊;0.018;0.35;0.613
👌;0.014;0.249;0.657
👏;0.004;0.271;0.624
💯;0.081;0.317;0.402
😍;0.012;0.219;0.729
😘;0.053;0.193;0.754
😒;0.753;0.193;0.054
🤣;0.247;0.285;0.468
📣;0.182;0.273;0.545
📲;0.174;0.413;0.413
🔊;0.096;0.404;0.5
🔵;0.139;0.417;0.444
🏠;0.077;0.346;0.577
👥;0.222;0.333;0.444
😀;0.086;0.26;0.654
😅;0.012;0.237;0.471
😉;0.01;0.337;0.563
😎;0.106;0.297;0.597
🌴;0.077;0.32;0.602
😓;0.431;0.217;0.351
😩;0.591;0.186;0.223
😪;0.431;0.219;0.351
😫;0.485;0.174;0.34
😭;0.136;0.22;0.343
🙆;0.092;0.316;0.592
🐷;0.097;0.477;0.445
♥;0.035;0.272;0.693
