texto;toxico;num_admir;num_may;num_may_esc;series_token;emojis;num_emoji;num_insultos;dir_23ps;score_emoji_tox;enfasis
La etiqueta, cabrón;1;0;0;0.0;['La', 'etiqueta', ',', 'cabrón'];;0;1;0;0.0;0.0
Hasta que un cabron trata a la lacra cómo se debe y todos se indignan;1;0;0;0.0;['Hasta', 'que', 'un', 'cabron', 'trata', 'a', 'la', 'lacra', 'cómo', 'se', 'debe', 'y', 'todos', 'se', 'indignan'];;0;1;0;0.0;0.0
La edad no la pones eh cabrón;1;0;0;0.0;['La', 'edad', 'no', 'la', 'pones', 'eh', 'cabrón'];;0;1;1;0.0;0.0
Y de un cabron solo puedes obtener cabronadas;1;0;0;0.0;['Y', 'de', 'un', 'cabron', 'solo', 'puedes', 'obtener', 'cabronadas'];;0;1;1;0.0;0.0
Eres más guiri que los irlandeses de aquí cabrón xD;1;0;1;0.1;['Eres', 'más', 'guiri', 'que', 'los', 'irlandeses', 'de', 'aquí', 'cabrón', 'xD'];;0;1;1;0.0;0.1
John23 cabron me cago en las putas hormigas de tu casa mmb;1;0;0;0.0;['John23', 'cabron', 'me', 'cago', 'en', 'las', 'putas', 'hormigas', 'de', 'tu', 'casa', 'mmb'];;0;1;0;0.0;0.0
Ya lo se cabron... Soy problema y solucion;1;0;0;0.0;['Ya', 'lo', 'se', 'cabron', '...', 'Soy', 'problema', 'y', 'solucion'];;0;0;0;0.0;0.0
A cabron, de quién es esta casa?;1;0;0;0.0;['A', 'cabron', ',', 'de', 'quién', 'es', 'esta', 'casa', '?'];;0;0;1;0.0;0.0
Que es eso cabron;1;0;0;0.0;['Que', 'es', 'eso', 'cabron'];;0;1;1;0.0;0.0
Amigo no seas cabron!!!!;1;4;0;0.0;['Amigo', 'no', 'seas', 'cabron', '!', '!', '!', '!'];;0;0;0;0.0;4.0
Alba “Este hijo de puta de Platini lo hicieron buenísimo, quien lo conoce!?”;1;1;0;0.0;['Alba', '“', 'Este', 'hijo', 'de', 'puta', 'de', 'Platini', 'lo', 'hicieron', 'buenísimo', ',', 'quien', 'lo', 'conoce', '!', '?', '”'];;0;1;0;0.0;1.0
Si hay un animal al que llamar hijo de puta, sería a este... ;1;0;0;0.0;['Si', 'hay', 'un', 'animal', 'al', 'que', 'llamar', 'hijo', 'de', 'puta', ',', 'sería', 'a', 'este', '...'];;0;0;1;0.0;0.0
Que hijo de puta se merece la muerte ;1;0;0;0.0;['Que', 'hijo', 'de', 'puta', 'se', 'merece', 'la', 'muerte'];;0;1;0;0.0;0.0
Mafioso hijo de puta!;1;1;0;0.0;['Mafioso', 'hijo', 'de', 'puta', '!'];;0;0;0;0.0;1.0
Cállate hijo de puta ;1;0;0;0.0;['Cállate', 'hijo', 'de', 'puta'];;0;1;0;0.0;0.0
Otra vez este hijo de puta del supermercado tenía la coca sin gas;1;0;0;0.0;['Otra', 'vez', 'este', 'hijo', 'de', 'puta', 'del', 'supermercado', 'tenía', 'la', 'coca', 'sin', 'gas'];;0;1;1;0.0;0.0
Ladrón hijo de puta , a patadas vamos a sacarle;1;0;0;0.0;['Ladrón', 'hijo', 'de', 'puta', ',', 'a', 'patadas', 'vamos', 'a', 'sacarle'];;0;1;0;0.0;0.0
Que hijo de puta! jajajaj ;1;1;0;0.0;['Que', 'hijo', 'de', 'puta', '!', 'jajajaj'];;0;0;0;0.0;1.0
Semejante hijo de puta ese señor tiene guita para comprar 2 ingenios, y ahora está en quiebra? ;1;0;0;0.0;['Semejante', 'hijo', 'de', 'puta', 'ese', 'señor', 'tiene', 'guita', 'para', 'comprar', '2', 'ingenios', ',', 'y', 'ahora', 'está', 'en', 'quiebra', '?'];;0;1;1;0.0;0.0
responde hijo de puta;1;0;0;0.0;['responde', 'hijo', 'de', 'puta'];;0;1;1;0.0;0.0
TE QUIERO DISPARAR JODER, TODOS LOS PUTOS BESOS QUE NO PUDE DARTE HOSTIAS, TE QUIERO PUTO DISPARAR CADA MIERDA DE CARICIA QUE NO PUDE HACERTE JODER TE QUIERO HIJO DE PUTA, TE QUIERO PUTO DISPARARRRRR ;1;0;35;1.0;['TE', 'QUIERO', 'DISPARAR', 'JODER', ',', 'TODOS', 'LOS', 'PUTOS', 'BESOS', 'QUE', 'NO', 'PUDE', 'DARTE', 'HOSTIAS', ',', 'TE', 'QUIERO', 'PUTO', 'DISPARAR', 'CADA', 'MIERDA', 'DE', 'CARICIA', 'QUE', 'NO', 'PUDE', 'HACERTE', 'JODER', 'TE', 'QUIERO', 'HIJO', 'DE', 'PUTA', ',', 'TE', 'QUIERO', 'PUTO', 'DISPARARRRRR'];;0;2;0;0.0;1.0
Ojalá se muera tu mamá hijo de puta ;1;0;0;0.0;['Ojalá', 'se', 'muera', 'tu', 'mamá', 'hijo', 'de', 'puta'];;0;1;0;0.0;0.0
es Un día en Pamplona un señor me dijo agur. EL MUY HIJO DE PUTA.;1;0;5;0.3333333333333333;['es', 'Un', 'día', 'en', 'Pamplona', 'un', 'señor', 'me', 'dijo', 'agur', '.', 'EL', 'MUY', 'HIJO', 'DE', 'PUTA', '.'];;0;0;1;0.0;0.3333333333333333
patilla Que Coño nos importa donde este este hijo de puta!!!;1;3;0;0.0;['patilla', 'Que', 'Coño', 'nos', 'importa', 'donde', 'este', 'este', 'hijo', 'de', 'puta', '!', '!', '!'];;0;0;1;0.0;3.0
iluminado_33 Si pusieras la cara estarías muerto hijo de putA;1;0;1;0.1;['iluminado_33', 'Si', 'pusieras', 'la', 'cara', 'estarías', 'muerto', 'hijo', 'de', 'putA'];;0;1;1;0.0;0.1
Mierdaseca de sonrisa traidora, catanazis.;1;0;0;0.0;['Mierdaseca', 'de', 'sonrisa', 'traidora', ',', 'catanazis', '.'];;0;1;1;0.0;0.0
qué segunda opción mierdaseca si no tengo amigos;1;0;0;0.0;['qué', 'segunda', 'opción', 'mierdaseca', 'si', 'no', 'tengo', 'amigos'];;0;1;0;0.0;0.0
a ver si le dan entre todos por culo al mierdaseca del coleta ;1;0;0;0.0;['a', 'ver', 'si', 'le', 'dan', 'entre', 'todos', 'por', 'culo', 'al', 'mierdaseca', 'del', 'coleta'];;0;1;0;0.0;0.0
Así que ese era el mierdaseca que hizo que Anakin se cambiase de bando. ;1;0;0;0.0;['Así', 'que', 'ese', 'era', 'el', 'mierdaseca', 'que', 'hizo', 'que', 'Anakin', 'se', 'cambiase', 'de', 'bando', '.'];;0;1;1;0.0;0.0
 mierdaseca;1;0;0;0.0;['mierdaseca'];;0;1;0;0.0;0.0
17 Pero con un ferrari hijo de puta, no con un honda mierdaseca;1;0;0;0.0;['17', 'Pero', 'con', 'un', 'ferrari', 'hijo', 'de', 'puta', ',', 'no', 'con', 'un', 'honda', 'mierdaseca'];;0;1;0;0.0;0.0
Además están avisando que van a poner una versión similar a la venta en la tienda de CD Project, que no se gasten la fortuna que piden esos mierdaseca;1;0;1;0.034482758620689655;['Además', 'están', 'avisando', 'que', 'van', 'a', 'poner', 'una', 'versión', 'similar', 'a', 'la', 'venta', 'en', 'la', 'tienda', 'de', 'CD', 'Project', ',', 'que', 'no', 'se', 'gasten', 'la', 'fortuna', 'que', 'piden', 'esos', 'mierdaseca'];;0;1;1;0.0;0.034482758620689655
69 Fernando VII fue un mierdaseca de eso no hay duda, pero Pepe botella tampoco era ningún adalid de la justicia su único interés era convertir a España en una marioneta fue el rey mas odiado con razón. Una cosa no quita la otra.;1;0;1;0.022727272727272728;['69', 'Fernando', 'VII', 'fue', 'un', 'mierdaseca', 'de', 'eso', 'no', 'hay', 'duda', ',', 'pero', 'Pepe', 'botella', 'tampoco', 'era', 'ningún', 'adalid', 'de', 'la', 'justicia', 'su', 'único', 'interés', 'era', 'convertir', 'a', 'España', 'en', 'una', 'marioneta', 'fue', 'el', 'rey', 'mas', 'odiado', 'con', 'razón', '.', 'Una', 'cosa', 'no', 'quita', 'la', 'otra', '.'];;0;1;1;0.0;0.022727272727272728
Lloraras tu cuando te llegue la denuncia MIERDASECA;1;0;1;0.125;['Lloraras', 'tu', 'cuando', 'te', 'llegue', 'la', 'denuncia', 'MIERDASECA'];;0;1;0;0.0;0.125
Lo que me faltaba por ver es al mierdaseca machista de Colate haciendo el drama cuando fijísimo que se ha tirado él solo únicamente para que a ella la tiren del programa. Vaya chusma. SVGala9;1;0;0;0.0;['Lo', 'que', 'me', 'faltaba', 'por', 'ver', 'es', 'al', 'mierdaseca', 'machista', 'de', 'Colate', 'haciendo', 'el', 'drama', 'cuando', 'fijísimo', 'que', 'se', 'ha', 'tirado', 'él', 'solo', 'únicamente', 'para', 'que', 'a', 'ella', 'la', 'tiren', 'del', 'programa', '.', 'Vaya', 'chusma', '.', 'SVGala9'];;0;1;1;0.0;0.0
llegada. Para mí es una mala noticia que Pesic continúe al frente del Barca: sabe cómo parar a este Madrid de Mierdaseca Laso.;1;0;0;0.0;['llegada', '.', 'Para', 'mí', 'es', 'una', 'mala', 'noticia', 'que', 'Pesic', 'continúe', 'al', 'frente', 'del', 'Barca', ':', 'sabe', 'cómo', 'parar', 'a', 'este', 'Madrid', 'de', 'Mierdaseca', 'Laso', '.'];;0;1;1;0.0;0.0
lauucv_ Si sara deja de ser una mierdaseca y no se raja mejorr;1;0;0;0.0;['lauucv_', 'Si', 'sara', 'deja', 'de', 'ser', 'una', 'mierdaseca', 'y', 'no', 'se', 'raja', 'mejorr'];;0;1;0;0.0;0.0
pais Por fin Madrid ha dejado de ser perroflauta.;1;0;0;0.0;['pais', 'Por', 'fin', 'Madrid', 'ha', 'dejado', 'de', 'ser', 'perroflauta', '.'];;0;0;0;0.0;0.0
Iglesias_ Iglesios es un vividor igual que tu que si no fuera por la politica estariais en regional charlatan. que bien os va engañando a los perroflauta;1;0;0;0.0;['Iglesias_', 'Iglesios', 'es', 'un', 'vividor', 'igual', 'que', 'tu', 'que', 'si', 'no', 'fuera', 'por', 'la', 'politica', 'estariais', 'en', 'regional', 'charlatan', '.', 'que', 'bien', 'os', 'va', 'engañando', 'a', 'los', 'perroflauta'];;0;1;1;0.0;0.0
Cómprate una vida perroflauta;1;0;0;0.0;['Cómprate', 'una', 'vida', 'perroflauta'];;0;1;0;0.0;0.0
Asco de periodismo y cadena perroflauta, miserables personajes;1;0;0;0.0;['Asco', 'de', 'periodismo', 'y', 'cadena', 'perroflauta', ',', 'miserables', 'personajes'];;0;0;1;0.0;0.0
También lo anulas por la pegatina del móvil, eso es de perroflauta;1;0;0;0.0;['También', 'lo', 'anulas', 'por', 'la', 'pegatina', 'del', 'móvil', ',', 'eso', 'es', 'de', 'perroflauta'];;0;1;1;0.0;0.0
el pelo a ese perroflauta de mierda…;1;0;0;0.0;['el', 'pelo', 'a', 'ese', 'perroflauta', 'de', 'mierda…'];;0;1;1;0.0;0.0
Gracias! Soy de esos que lava el cerebro a los chavales. Me llaman el perroflauta roba mentes.;1;1;0;0.0;['Gracias', '!', 'Soy', 'de', 'esos', 'que', 'lava', 'el', 'cerebro', 'a', 'los', 'chavales', '.', 'Me', 'llaman', 'el', 'perroflauta', 'roba', 'mentes', '.'];;0;1;1;0.0;1.0
Perroflauta, la definición de basura eres tú.;1;0;0;0.0;['Perroflauta', ',', 'la', 'definición', 'de', 'basura', 'eres', 'tú', '.'];;0;0;1;0.0;0.0
tornado Se nota que eres un triste perroflauta catalufo.;1;0;0;0.0;['tornado', 'Se', 'nota', 'que', 'eres', 'un', 'triste', 'perroflauta', 'catalufo', '.'];;0;1;1;0.0;0.0
Callate, perroflauta;1;0;0;0.0;['Callate', ',', 'perroflauta'];;0;1;0;0.0;0.0
Tampoco te merezco empatia, perroflauta? Cuando vais a por los magrebies, chavista bolivarianos?;1;0;0;0.0;['Tampoco', 'te', 'merezco', 'empatia', ',', 'perroflauta', '?', 'Cuando', 'vais', 'a', 'por', 'los', 'magrebies', ',', 'chavista', 'bolivarianos', '?'];;0;0;1;0.0;0.0
una parguela que es famosa xq es influenser;1;0;0;0.0;['una', 'parguela', 'que', 'es', 'famosa', 'xq', 'es', 'influenser'];;0;1;1;0.0;0.0
Tu que eres un parguela y seguramente un niñato el Valencia no hace mucho estaba en una situación muy parecida al celta, así que menos faltar al resto de aficionados inútil que es lo que sois así tenemos mestalla lleno de niñatos fuman porros y medio nazis;1;0;0;0.0;['Tu', 'que', 'eres', 'un', 'parguela', 'y', 'seguramente', 'un', 'niñato', 'el', 'Valencia', 'no', 'hace', 'mucho', 'estaba', 'en', 'una', 'situación', 'muy', 'parecida', 'al', 'celta', ',', 'así', 'que', 'menos', 'faltar', 'al', 'resto', 'de', 'aficionados', 'inútil', 'que', 'es', 'lo', 'que', 'sois', 'así', 'tenemos', 'mestalla', 'lleno', 'de', 'niñatos', 'fuman', 'porros', 'y', 'medio', 'nazis'];;0;2;1;0.0;0.0
Menudo parguela que te gane un minum;1;0;0;0.0;['Menudo', 'parguela', 'que', 'te', 'gane', 'un', 'minum'];;0;1;0;0.0;0.0
Parguela vete ya que estábamos contentos pensando que te habías muerto;1;0;0;0.0;['Parguela', 'vete', 'ya', 'que', 'estábamos', 'contentos', 'pensando', 'que', 'te', 'habías', 'muerto'];;0;1;1;0.0;0.0
El machete cuando se saca es para usarlo. El que lo saca para enseñar es un parguela ;1;0;0;0.0;['El', 'machete', 'cuando', 'se', 'saca', 'es', 'para', 'usarlo', '.', 'El', 'que', 'lo', 'saca', 'para', 'enseñar', 'es', 'un', 'parguela'];;0;1;1;0.0;0.0
Pero si no has visto la serie parguela;1;0;0;0.0;['Pero', 'si', 'no', 'has', 'visto', 'la', 'serie', 'parguela'];;0;1;0;0.0;0.0
catala @_Ansoc Es que una protesta no puedes paralizar el país... Una protesta tú vas a la calle y dices lo que quieras SIN afectar a los DERECHOS de los demás. No puede ser q te tengan secuestrado en la carretera. Eso es hacer el parguela jodiendo a la gente sin legimitidad alguna.;1;0;2;0.03773584905660377;['catala', '@', '_Ansoc', 'Es', 'que', 'una', 'protesta', 'no', 'puedes', 'paralizar', 'el', 'país', '...', 'Una', 'protesta', 'tú', 'vas', 'a', 'la', 'calle', 'y', 'dices', 'lo', 'que', 'quieras', 'SIN', 'afectar', 'a', 'los', 'DERECHOS', 'de', 'los', 'demás', '.', 'No', 'puede', 'ser', 'q', 'te', 'tengan', 'secuestrado', 'en', 'la', 'carretera', '.', 'Eso', 'es', 'hacer', 'el', 'parguela', 'jodiendo', 'a', 'la', 'gente', 'sin', 'legimitidad', 'alguna', '.'];;0;1;1;0.0;0.03773584905660377
El chaval más parguela que te puedes echar en cara, 100% verídico;1;0;0;0.0;['El', 'chaval', 'más', 'parguela', 'que', 'te', 'puedes', 'echar', 'en', 'cara', ',', '100', '%', 'verídico'];;0;1;1;0.0;0.0
Si tú no estabas parguela. ;1;0;0;0.0;['Si', 'tú', 'no', 'estabas', 'parguela', '.'];;0;0;1;0.0;0.0
