



mierdaseca  ->  shit  ->  {'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5574}
hijo de puta  ->  motherfucker  ->  {'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6808}
bocachancla  ->  bocachancla  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
abrazafarolas  ->  armguard  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cabron  ->  dumbass  ->  {'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5574}
chupacables  ->  chupacables  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cuerpoescombro  ->  corps  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
lameculos  ->  lameculos  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
morroestufa  ->  morroestufa  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pagafantas  ->  pagafantas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
tolai  ->  To raise  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
perroflauta  ->  perroflauta  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
parguela  ->  parguela  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cenutrio  ->  cenutrio  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cabezabuque  ->  head  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
melon  ->  melon  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
puta  ->  times  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
puto  ->  fucking  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
nazi  ->  nazi  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
niñata  ->  little girl  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
tocapelotas  ->  tocapelotas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pichabrava  ->  pichabrava  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
peinabombillas  ->  hairbrush  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
caraespatula  ->  caraespatula  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cipote  ->  cipote  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
p***  ->  p***  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
panoli  ->  plague  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cierrabares  ->  closures  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
merluzo  ->  merluzo  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
capullo  ->  cocoon  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
muerdesartenes  ->  muerdesartenes  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
zampabollos  ->  Zampabollos  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
mentecato  ->  mentecato  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
aborto de mono  ->  Monkey abortion  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
zarrapastroso  ->  scourge  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
tuercebotas  ->  screwdrivers  ->  {'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0258}
alcornoque  ->  oaks  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
bebecharcos  ->  Bbashrkas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
lerdo  ->  dull  ->  {'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4019}
papafrita  ->  papafrite  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
huevon  ->  huevon  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
mindundi  ->  mindundi  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
carajaula  ->  carajaula  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
malparido  ->  bastard  ->  {'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5423}
zopenco  ->  zopenco  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
soplagaitas  ->  soplagaitis  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
culopollo  ->  culopollo  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
piltrafa  ->  piltrafa  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
amorfo  ->  amorphous  ->  {'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.0516}
papanatas  ->  Papanas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
meapilas  ->  material  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
zurcefrenillos  ->  zurcefrenillos  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
mequetrefe  ->  mequetrefe  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pelagambas  ->  pelagambas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
gañan  ->  win  ->  {'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}
pazguato  ->  peace bean  ->  {'neg': 0.0, 'neu': 0.222, 'pos': 0.778, 'compound': 0.5423}
lechuguino  ->  lechuguino  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pedorro  ->  fart  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
caraculo  ->  caracole  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
caracarton  ->  caracarton  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pelele  ->  dummy  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
alfeñique  ->  Alfeñique  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
botarate  ->  you will lie  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
mameluco  ->  Mameluke  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
quitahipos  ->  removers  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
paquete  ->  package  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pintamonas  ->  paint them  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
zoquete  ->  oaf  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
energumeno  ->  energumeno  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
gilipuertas  ->  guilloche  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
palurdo  ->  stuck  ->  {'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.25}
perra  ->  female dog  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cretino  ->  cretin  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
comebolsas  ->  eat bags  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
sabandija  ->  Sabindija  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
analfabestia  ->  illiteracy  ->  {'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4404}
tipa  ->  type  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
piojoso  ->  lousy  ->  {'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5423}
peinaovejas  ->  peinaovejas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
perrocostra  ->  perrocostra  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pelagatos  ->  pelagatos  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
tarugo  ->  tarugo  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pecholata  ->  chestnut  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cantamañanas  ->  midnight  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
brasas  ->  embers  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
baboso  ->  slimy  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
