texto;toxico;
que asco de cabron;1;
Felipe. Cállate, cabrón. ¿Con qué cara te atreves a hablar sobre construcción de refinerías?;1;
"""Tú eres tan cabrón que los estás jodiendo"" ""Que pongan el aire más alto así nos infectamos"" ""Estos hijos de puta se tienen que ir a su país"" ""Que esto es España joder"" ""Dentro de poco esto va a estar lleno de ratas y nos vamos a infectar todos"" ""Me están tocando los huevos""";1;
Jajajajaja Qué cabrón;0;
Ja ja , cabrón 😅;0;
HIJO DE PUTA, COMO TE ATREVES A PONER ESE EMOJI ;1;
Cínico hijo de la gran puta.;1;
Mis padres estaban buscando casa y llamo el vendedor de la casa. Yo cogí el teléfono y empecé a insultarte (gilipollas, hijo de puta) sin motivo aparente, era pequeño.Y después mi madre como buena madre gallega me obligó a ir a verlo y disculparme, me quería morir de la vergüenza;1;
Yo creo que hay gente que busca que yo sea un hijo de puta. Tengo pruebas eh, porque siempre, juro que siempre que me porto bien me terminan haciendo x cosa para que me ponga en hijo de mil puta. Creo que el problema está en cuando quiero ser buena persona;1;
Me parece muy de hijo de puta que me diga que esté con la novia y me pida vernos, UN HIJO DE PUTA.;1;
Hijo de puta ;1;
Nos estás amenazando, mierdaseca?;1;
Los NIÑATOS que reniegan de Ramos, son los mismos que idolatran al mierdaseca de Mourinho, que echaron al mejor portero del mundo, Casillas. Aficionados se hacen llamar....;1;
Que Valls será un mierdaseca, que nadie lo discute, pero que está ofreciendo sus votos GRATIS CHABALADA. No he visto todavía a la derecha catalana hacer lo mismo.;1;
"Salía del aeropuerto con mis compañeros y un puto guiri de mierda ha dicho ""low cost airline, low cost..."" Y luego algo que no he oído bien y se han reído pero estoy segura de que se refería a que nosotros éramos ""baratos"" y de verdad,ojalá se tire por un balcón el muy mierdaseca";1;
Que te pires mierdaseca!;1;
Monedero, te ha devorado el personaje. Eres un mierdaseca.;1;
no se puede ser más bocachancla... ;1;
Yo flipo, con lo bocachancla q puede ser la gente...;1;
Ningún bocachancla sin captura. ;1;
Pero si no ganasteis vuestro psrtido bocachancla;1;
El bocachancla tiene implantada en la personalidad la prepotencia por defecto...;1;
Populismo? populismo eres tú, bocachancla;1;
Callate bocachancla, no hace falta que digas tonterias que tos sabemos ;1;
Qué diferencia con el Borbón abrazafarolas, eh!?;1;
Pero si Will es el genio, abrazafarolas;1;
Eres un abrazafarolas.;1;
El impoluto, según el porcino abrazafarolas de _TomasRoncero 🤣🐷🤣🐷🤣🐷🤣🐷🤣🐷🤣🐷🤣;1;
No te me pongas asi abrazafarolas;1;
_g Madre mía la cantidad de abrazafarolas que se tragan tus bulos.;1;
Gilipollas, subnormal, melón, retrasado, imbecil, tonto, malparido, payaso, chupacables, retrasado, hijo de puta, cabronazo, mierdaseca, capullo, y porque no se me ocurren mas que si no estaba así todo el dia pedazo mamón. ;1;(chupacables)
O porque eres un cuerpoescombro, que puede ser hasta peor.;1;
Soy yo o el rey se está volviendo un cuerpoescombro? Bienvenido al club Su Atleza. ;1;
Qué dice el cuerpoescombro este? ;1;
Panorámica a ojos del cuerpoescombro.... ;1;
virgen jajaja tanto tiempo llevas aguantando al cuerpoescombro este?;1;
normativo de que si es un cuerpoescombro;1;
Lameculos profesional!! ;1;
Perdona? Que hablas de gente mayor, este es un sinverguenza macarra y lameculos;1;
Rotundamente SI... lameculos;1;
Susana Griso es una lameculos;1;
Los traidores-ras en este país brillan por su presencia, así como los chivatos y falsos lameculos. Lo llevan escrito en su puta cara!;1;
España es el país con los obreros más sumisos y lameculos de toda Europa. Cuanto tenemos que aprender de los franceses, que por algo tienen unos sueldos bastante más dignos que nosotros...;1;
